Subject,Trigger,Prime,List,Target,StemID,Correct_Response,Target.RESP,Target.ACC,Target.RT,Target.RT.trm.err
7,1,breadth,List1,bread,1,6,6,1,469,469
7,2,hearth,List1,hear,2,6,6,1,497,497
7,3,youth,List1,you,3,6,6,1,504,504
7,4,kindling,List2,kind,4,6,6,1,667,667
7,5,dumpling,List2,dump,5,6,6,1,502,502
7,6,random,List2,ran,6,6,6,1,1141,1141
7,7,dearth,List2,dear,7,6,6,1,687,687
7,8,career,List1,car,8,6,6,1,827,827
7,9,ratify,List1,rat,9,6,6,1,480,480
7,10,factory,List1,fact,10,6,6,1,607,607
7,11,pillory,List1,pill,11,6,6,1,611,611
7,12,hickory,List2,hick,12,6,6,1,555,555
7,13,auditory,List2,audit,13,6,5,0,441,NA
7,14,testify,List2,test,14,6,6,1,501,501
7,15,seedling,List1,seed,15,6,6,1,533,533
7,16,warmth,List1,warm,16,6,6,1,469,469
7,17,fourth,List1,four,17,6,6,1,439,439
7,18,boyhood,List1,boy,18,6,6,1,430,430
7,19,eleventh,List1,eleven,19,6,6,1,489,489
7,20,sixth,List1,six,20,6,6,1,581,581
7,21,duckling,List1,duck,21,6,6,1,741,741
7,22,stardom,List1,star,22,6,6,1,504,504
7,23,manhood,List1,man,23,6,6,1,436,436
7,24,boredom,List2,bore,24,6,6,1,547,547
7,25,tenth,List2,ten,25,6,6,1,456,456
7,26,freedom,List2,free,26,6,6,1,563,563
7,27,kingdom,List2,king,27,6,6,1,474,474
7,28,sapling,List2,sap,28,6,6,1,605,605
7,29,earthling,List2,earth,29,6,6,1,512,512
7,30,growth,List2,grow,30,6,5,0,374,NA
7,31,serfdom,List2,serf,31,6,6,1,592,592
7,32,health,List2,heal,32,6,6,1,666,666
7,33,cashier,List1,cash,33,6,6,1,497,497
7,34,solidify,List1,solid,34,6,6,1,533,533
7,35,fortify,List1,fort,35,6,6,1,696,696
7,36,profiteer,List1,profit,36,6,6,1,886,886
7,37,directory,List1,direct,37,6,5,0,543,NA
7,38,armory,List1,arm,38,6,6,1,654,654
7,39,acidify,List1,acid,39,6,6,1,577,577
7,40,frontier,List1,front,40,6,6,1,663,663
7,41,humidify,List1,humid,41,6,6,1,400,400
7,42,classify,List2,class,42,6,6,1,478,478
7,43,hotelier,List2,hotel,43,6,6,1,604,604
7,44,marketeer,List2,market,44,6,6,1,541,541
7,45,justify,List2,just,45,6,6,1,506,506
7,46,courtier,List2,court,46,6,6,1,538,538
7,47,nullify,List2,null,47,6,6,1,567,567
7,48,racketeer,List2,racket,48,6,6,1,528,528
7,49,musketeer,List2,musket,49,6,6,1,479,479
7,50,clothier,List2,cloth,50,6,6,1,717,717
7,51,witness,List1,wit,51,6,6,1,572,572
7,52,imply,List2,imp,52,6,5,0,779,NA
7,53,listen,List1,list,53,6,6,1,743,743
7,54,pastor,List1,past,54,6,6,1,549,549
7,55,banish,List1,ban,55,6,6,1,513,513
7,56,heathen,List1,heath,56,6,6,1,475,475
