LIST,SUBJ,Group,Trial_Order,List_Order,Target.ACC,Target.RESP,RT.1000,RT.ERR,RT,List_ID,Trigger,ITEM_ID,PRIME,TARGET,prod,rel,transparency,init_sound
1,8,1,35,35,1,6,618,618,618,1,1,1,breadth,bread,Low,Related,Opaque,Consonant
1,8,1,82,82,1,6,645,645,645,2,2,2,hearth,hear,Low,Related,Opaque,Consonant
1,8,1,144,144,1,6,531,531,531,3,3,3,youth,you,Low,Related,Opaque,Consonant
2,8,1,326,126,1,6,406,406,406,4,4,4,kindling,kind,Low,Related,Opaque,Consonant
2,8,1,276,76,1,6,835,835,835,5,5,5,dumpling,dump,Low,Related,Opaque,Consonant
2,8,1,308,108,1,6,483,483,483,6,6,6,random,ran,Low,Related,Opaque,Consonant
2,8,1,338,138,1,6,545,545,545,7,7,7,dearth,dear,Low,Related,Opaque,Consonant
1,8,1,119,119,1,6,694,694,694,8,8,8,career,car,Low,Related,Opaque,Vowel
1,8,1,31,31,1,6,584,584,584,9,9,9,ratify,rat,Low,Related,Opaque,Vowel
1,8,1,79,79,1,6,900,900,900,10,10,10,factory,fact,Low,Related,Opaque,Vowel
1,8,1,161,161,1,6,720,720,720,11,11,11,pillory,pill,Low,Related,Opaque,Vowel
2,8,1,398,198,1,6,448,448,448,12,12,12,hickory,hick,Low,Related,Opaque,Vowel
2,8,1,293,93,1,6,647,647,647,13,13,13,auditory,audit,Low,Related,Opaque,Vowel
2,8,1,366,166,1,6,481,481,481,14,14,14,testify,test,Low,Related,Opaque,Vowel
1,8,1,142,142,1,6,467,467,467,15,15,15,seedling,seed,Low,Related,Transparent,Consonant
1,8,1,46,46,1,6,492,492,492,16,16,16,warmth,warm,Low,Related,Transparent,Consonant
1,8,1,22,22,1,6,638,638,638,17,17,17,fourth,four,Low,Related,Transparent,Consonant
1,8,1,83,83,1,6,445,445,445,18,18,18,boyhood,boy,Low,Related,Transparent,Consonant
1,8,1,88,88,1,6,574,574,574,19,19,19,eleventh,eleven,Low,Related,Transparent,Consonant
1,8,1,54,54,1,6,494,494,494,20,20,20,sixth,six,Low,Related,Transparent,Consonant
1,8,1,100,100,1,6,465,465,465,21,21,21,duckling,duck,Low,Related,Transparent,Consonant
1,8,1,90,90,1,6,439,439,439,22,22,22,stardom,star,Low,Related,Transparent,Consonant
1,8,1,102,102,1,6,505,505,505,23,23,23,manhood,man,Low,Related,Transparent,Consonant
2,8,1,215,15,1,6,628,628,628,24,24,24,boredom,bore,Low,Related,Transparent,Consonant
2,8,1,324,124,1,6,470,470,470,25,25,25,tenth,ten,Low,Related,Transparent,Consonant
2,8,1,309,109,1,6,499,499,499,26,26,26,freedom,free,Low,Related,Transparent,Consonant
2,8,1,386,186,1,6,741,741,741,27,27,27,kingdom,king,Low,Related,Transparent,Consonant
2,8,1,307,107,1,6,587,587,587,28,28,28,sapling,sap,Low,Related,Transparent,Consonant
2,8,1,305,105,1,6,474,474,474,29,29,29,earthling,earth,Low,Related,Transparent,Consonant
2,8,1,354,154,1,6,501,501,501,30,30,30,growth,grow,Low,Related,Transparent,Consonant
2,8,1,318,118,1,6,605,605,605,31,31,31,serfdom,serf,Low,Related,Transparent,Consonant
2,8,1,320,120,1,6,598,598,598,32,32,32,health,heal,Low,Related,Transparent,Consonant
1,8,1,24,24,1,6,631,631,631,33,33,33,cashier,cash,Low,Related,Transparent,Vowel
1,8,1,112,112,1,6,484,484,484,34,34,34,solidify,solid,Low,Related,Transparent,Vowel
1,8,1,61,61,1,6,856,856,856,35,35,35,fortify,fort,Low,Related,Transparent,Vowel
1,8,1,127,127,1,6,607,607,607,36,36,36,profiteer,profit,Low,Related,Transparent,Vowel
1,8,1,13,13,1,6,652,652,652,37,37,37,directory,direct,Low,Related,Transparent,Vowel
1,8,1,164,164,1,6,616,616,616,38,38,38,armory,arm,Low,Related,Transparent,Vowel
1,8,1,4,4,1,6,642,642,642,39,39,39,acidify,acid,Low,Related,Transparent,Vowel
1,8,1,106,106,1,6,667,667,667,40,40,40,frontier,front,Low,Related,Transparent,Vowel
1,8,1,58,58,1,6,607,607,607,41,41,41,humidify,humid,Low,Related,Transparent,Vowel
2,8,1,259,59,1,6,663,663,663,42,42,42,classify,class,Low,Related,Transparent,Vowel
2,8,1,250,50,1,6,733,733,733,43,43,43,hotelier,hotel,Low,Related,Transparent,Vowel
2,8,1,328,128,1,6,511,511,511,44,44,44,marketeer,market,Low,Related,Transparent,Vowel
2,8,1,322,122,1,6,462,462,462,45,45,45,justify,just,Low,Related,Transparent,Vowel
2,8,1,238,38,1,6,481,481,481,46,46,46,courtier,court,Low,Related,Transparent,Vowel
2,8,1,241,41,1,6,834,834,834,47,47,47,nullify,null,Low,Related,Transparent,Vowel
2,8,1,347,147,1,6,484,484,484,48,48,48,racketeer,racket,Low,Related,Transparent,Vowel
2,8,1,302,102,1,6,577,577,577,49,49,49,musketeer,musket,Low,Related,Transparent,Vowel
2,8,1,262,62,1,6,696,696,696,50,50,50,clothier,cloth,Low,Related,Transparent,Vowel
1,8,1,167,167,1,6,729,729,729,51,51,51,witness,wit,High,Related,Opaque,Consonant
2,8,1,317,117,1,6,669,669,669,52,52,52,imply,imp,High,Related,Opaque,Consonant
1,8,1,110,110,1,6,516,516,516,53,53,53,listen,list,High,Related,Opaque,Vowel
1,8,1,63,63,0,5,599.557,,720,54,54,54,pastor,past,High,Related,Opaque,Vowel
1,8,1,71,71,1,6,634,634,634,55,55,55,banish,ban,High,Related,Opaque,Vowel
1,8,1,47,47,1,6,599.557,1044,1044,56,56,56,heathen,heath,High,Related,Opaque,Vowel
1,8,1,55,55,1,6,655,655,655,57,57,57,mister,mist,High,Related,Opaque,Vowel
1,8,1,5,5,1,6,930,930,930,58,58,58,raptor,rapt,High,Related,Opaque,Vowel
2,8,1,381,181,1,6,611,611,611,59,59,59,flower,flow,High,Related,Opaque,Vowel
2,8,1,218,18,1,6,589,589,589,60,60,60,traitor,trait,High,Related,Opaque,Vowel
2,8,1,315,115,1,6,556,556,556,61,61,61,limber,limb,High,Related,Opaque,Vowel
2,8,1,358,158,1,6,606,606,606,62,62,62,hunger,hung,High,Related,Opaque,Vowel
2,8,1,303,103,0,5,599.557,,889,63,63,63,pollen,poll,High,Related,Opaque,Vowel
2,8,1,252,52,1,6,589,589,589,64,64,64,vanish,van,High,Related,Opaque,Vowel
1,8,1,33,33,1,6,497,497,497,65,65,65,helpless,help,High,Related,Transparent,Consonant
1,8,1,172,172,1,6,562,562,562,66,66,66,chiefly,chief,High,Related,Transparent,Consonant
1,8,1,160,160,1,6,543,543,543,67,67,67,strongly,strong,High,Related,Transparent,Consonant
1,8,1,128,128,1,6,407,407,407,68,68,68,deafness,deaf,High,Related,Transparent,Consonant
1,8,1,166,166,1,6,497,497,497,69,69,69,deadly,dead,High,Related,Transparent,Consonant
1,8,1,23,23,1,6,671,671,671,70,70,70,sickness,sick,High,Related,Transparent,Consonant
1,8,1,117,117,1,6,477,477,477,71,71,71,worthless,worth,High,Related,Transparent,Consonant
1,8,1,25,25,1,6,791,791,791,72,72,72,thankless,thank,High,Related,Transparent,Consonant
1,8,1,168,168,1,6,610,610,610,73,73,73,toothless,tooth,High,Related,Transparent,Consonant
2,8,1,396,196,1,6,663,663,663,74,74,74,weakness,weak,High,Related,Transparent,Consonant
2,8,1,208,8,1,6,475,475,475,75,75,75,greatly,great,High,Related,Transparent,Consonant
2,8,1,363,163,1,6,464,464,464,76,76,76,illness,ill,High,Related,Transparent,Consonant
2,8,1,356,156,1,6,382,382,382,77,77,77,calmness,calm,High,Related,Transparent,Consonant
2,8,1,372,172,1,6,466,466,466,78,78,78,deathlike,death,High,Related,Transparent,Consonant
2,8,1,370,170,0,5,599.557,,505,79,79,79,waiflike,waif,High,Related,Transparent,Consonant
2,8,1,353,153,1,6,381,381,381,80,80,80,highly,high,High,Related,Transparent,Consonant
2,8,1,294,94,1,6,520,520,520,81,81,81,stainless,stain,High,Related,Transparent,Consonant
2,8,1,325,125,1,6,390,390,390,82,82,82,warlike,war,High,Related,Transparent,Consonant
1,8,1,73,73,0,5,599.557,,586,83,83,83,tractor,tract,High,Related,Transparent,Vowel
