SUBJ,errors,corrects,rel,prod
8,5,45,Related,High
10,7,43,Related,High
11,2,48,Related,High
12,4,46,Related,High
13,3,47,Related,High
14,2,48,Related,High
15,4,46,Related,High
16,8,42,Related,High
17,5,45,Related,High
18,6,44,Related,High
19,6,44,Related,High
20,4,46,Related,High
22,4,46,Related,High
23,8,42,Related,High
24,5,45,Related,High
25,4,46,Related,High
26,4,46,Related,High
27,6,44,Related,High
28,8,42,Related,High
29,6,44,Related,High
30,4,46,Related,High
31,6,44,Related,High
8,1,49,Unrelated,High
10,4,46,Unrelated,High
11,1,49,Unrelated,High
12,4,46,Unrelated,High
13,3,47,Unrelated,High
14,3,47,Unrelated,High
15,2,48,Unrelated,High
16,3,47,Unrelated,High
17,4,46,Unrelated,High
18,1,49,Unrelated,High
19,7,43,Unrelated,High
20,1,49,Unrelated,High
22,4,46,Unrelated,High
23,7,43,Unrelated,High
24,3,47,Unrelated,High
25,8,42,Unrelated,High
26,7,43,Unrelated,High
27,4,46,Unrelated,High
28,5,45,Unrelated,High
29,5,45,Unrelated,High
30,4,46,Unrelated,High
31,2,48,Unrelated,High
8,0,50,Related,Low
10,6,44,Related,Low
11,0,50,Related,Low
12,0,50,Related,Low
13,1,49,Related,Low
14,2,48,Related,Low
15,1,49,Related,Low
16,2,48,Related,Low
17,2,48,Related,Low
18,3,47,Related,Low
19,0,50,Related,Low
20,1,49,Related,Low
22,2,48,Related,Low
23,6,44,Related,Low
24,5,45,Related,Low
25,7,43,Related,Low
26,4,46,Related,Low
27,2,48,Related,Low
28,7,43,Related,Low
29,4,46,Related,Low
30,1,49,Related,Low
31,1,49,Related,Low
8,3,47,Unrelated,Low
10,3,47,Unrelated,Low
11,0,50,Unrelated,Low
12,4,46,Unrelated,Low
13,2,48,Unrelated,Low
14,3,47,Unrelated,Low
15,0,50,Unrelated,Low
16,1,49,Unrelated,Low
17,2,48,Unrelated,Low
18,1,49,Unrelated,Low
19,4,46,Unrelated,Low
20,2,48,Unrelated,Low
22,2,48,Unrelated,Low
23,4,46,Unrelated,Low
24,4,46,Unrelated,Low
25,3,47,Unrelated,Low
26,5,45,Unrelated,Low
27,1,49,Unrelated,Low
28,6,44,Unrelated,Low
29,2,48,Unrelated,Low
30,2,48,Unrelated,Low
31,1,49,Unrelated,Low
