"","subject","trigger","prime.x","list.x","target","stemid","correct_response","target.resp","target.acc","target.rt","target.rt.trm.err","relatedness","w_word","stem","affix","whl_word_len","afx_len","stem_len","transp","afx_onset","stem_frq","stem_logfrq","whl_word_freq","whl_word_logfrq","rel_frq","prime.y","afx_frq","med_splt","r1_splt","r1.5_splt","list.y","new.rt","log.rt","inverse.rt"
"1",7,1,"breadth","List1","bread",1,6,6,1,469,469,"related","breadth","bread","th",7,2,5,"opaque","consonant",76.9836,1.89200328,4.40246,0.73259156,2.58261681,"breadth","low","high","high","high","A",469,6.15060276844628,0.00213219616204691
"2",7,2,"hearth","List1","hear",2,6,6,1,497,497,"related","hearth","hear","th",6,2,4,"opaque","consonant",183.476,2.265939873,4.64044,0.751312984,3.01597326,"hearth","low","high","high","high","A",497,6.20859002609663,0.00201207243460765
"3",7,3,"youth","List1","you",3,6,6,1,504,504,"related","youth","you","th",5,2,3,"opaque","consonant",6334.67,3.801792548,63.4788,1.809416946,2.101114701,"youth","low","low","high","high","A",504,6.22257626807137,0.00198412698412698
"4",7,4,"kindling","List2","kind",4,6,6,1,667,667,"related","kindling","kind","ling",8,4,4,"opaque","consonant",409.846,2.613679063,0.951884,0.290454004,8.998598807,"kindling","low","high","high","high","B",667,6.50279004591562,0.00149925037481259
"5",7,5,"dumpling","List2","dump",5,6,6,1,502,502,"related","dumpling","dump","ling",8,4,4,"opaque","consonant",7.67457,0.938247956,0.356957,0.132566086,7.077586563,"dumpling","low","high","high","high","B",502,6.21860011969173,0.00199203187250996
"6",7,6,"random","List2","ran",6,6,6,1,1141,1141,"related","random","ran","dom",6,3,3,"opaque","consonant",116.606,2.070429479,18.2643,1.284753233,1.61153864,"random","low","low","high","high","B",1141,7.03966034986208,0.000876424189307625
"7",7,7,"dearth","List2","dear",7,6,6,1,687,687,"related","dearth","dear","th",6,2,4,"opaque","consonant",119.58,2.08127528,0.951884,0.290454004,7.16559332690214,"dearth","low","high","high","high","B",687,6.53233429222235,0.00145560407569141
"8",7,8,"career","List1","car",8,6,6,1,827,827,"related","career","car","eer",6,3,3,"opaque","vowel",274.916,2.440776885,57.1725,1.764717728,1.383097617,"career","low","low","high","low","A",827,6.71780469502369,0.00120918984280532
"9",7,9,"ratify","List1","rat",9,6,6,1,480,480,"related","ratify","rat","ify",6,3,3,"opaque","vowel",8.68594,0.986141774,0.713913,0.233988773,4.214483273,"ratify","low","high","high","high","A",480,6.17378610390194,0.00208333333333333
"10",7,10,"factory","List1","fact",10,6,6,1,607,607,"related","factory","fact","ory",7,3,4,"opaque","vowel",448.635,2.65286011,39.2652,1.604929861,1.65294457584216,"factory","low","low","high","high","A",607,6.4085287910595,0.00164744645799012
"11",7,11,"pillory","List1","pill",11,6,6,1,611,611,"related","pillory","pill","ory",7,3,4,"opaque","vowel",13.8023,1.170329202,0.416449,0.151200942,7.740224226,"pillory","low","high","high","high","A",611,6.4150969591716,0.0016366612111293
"12",7,12,"hickory","List2","hick",12,6,6,1,555,555,"related","hickory","hick","ory",7,3,4,"opaque","vowel",1.24935,0.352057037,1.13036,0.328452999,1.071864276,"hickory","low","low","high","low","B",555,6.31896811374643,0.0018018018018018
